Chellow Id,Chellow DNO Id,Meter Timeswitch Class Id,Meter Timeswitch Class Description,Has Related Meter?,Has Comms?,Is HH?,Meter Type Chellow Id,Meter Payment Type Chellow Id,MTC TPR Count,Effective From Settlement Date {MTC},Effective To Settlement Date {MTC}
534,,850,HH COP6(d) With Comms,0,1,1,4,1,,1996-04-01,
535,,851,HH COP6(a) Without Comms,0,0,1,1,1,,1996-04-01,
536,,852,HH COP6(b) Without Comms,0,0,1,2,1,,1996-04-01,
537,,853,HH COP6(c) Without Comms,0,0,1,3,1,,1996-04-01,
538,,854,HH COP6(d) Without Comms,0,0,1,4,1,,1996-04-01,
539,,855,HH Code 7 With Comms,0,1,1,6,1,,1996-04-01,
540,,856,HH Code 7 Without Comms,0,0,1,6,1,,1996-04-01,
541,,857,Unmetered Continuous,0,0,0,16,1,2,1996-04-01,
542,,858,Unmetered - Dawn to Dusk,0,0,0,16,1,2,1996-04-01,
543,,859,Unmetered - Dusk to Dawn,0,0,0,16,1,2,1996-04-01,
544,,860,Unmetered - Half Night Pre-Dawn,0,0,0,16,1,2,1996-04-01,
545,,861,Unmetered Reserved,0,0,0,16,1,,1996-04-01,
546,,862,Site Specific,0,0,0,13,1,,1996-04-01,
547,,863,Unmetered Pseudo HH,0,0,1,12,1,,1996-04-01,
548,,864,Economy 10,0,0,0,14,1,2,2000-11-10,
549,,865,Economy 10,0,0,0,15,1,2,2002-01-18,
550,,866,NHH Export - Micro CHP (Export only meter),0,0,0,10,1,1,2003-09-28,
551,,867,NHH Export - Micro PV (Export only meter),0,0,0,10,1,1,2003-09-28,
552,,868,NHH Export - Other Microgen (Export only meter),0,0,0,10,1,1,2003-09-28,
553,,869,NHH Export - Micro CHP (Import & Export meter),0,0,0,7,1,1,2003-09-28,
554,,870,NHH Export - Micro PV (Import & Export meter),0,0,0,7,1,1,2003-09-28,
555,,871,NHH Export - Other Microgen (Import/Export meter),0,0,0,7,1,1,2003-09-28,
556,,872,7-HOUR E7,0,0,0,18,1,2,2006-04-28,
557,,873,Single Rate AMR,0,1,0,18,1,1,2007-03-09,
558,,874,Two Rate AMR,0,1,0,18,1,2,2007-03-09,
559,,875,Economy 10 Key Meter,0,0,0,15,2,2,2008-02-05,
560,,876,Economy 10 Key Meter,0,0,0,14,2,2,2008-02-05,
561,,877,E8.5 23:00-07:30,0,0,0,14,2,2,2011-02-16,
562,,878,E8.5 23:00-07:30,0,0,0,14,2,2,2011-02-16,
563,,890,Key Meter,0,0,0,15,2,2,2004-02-01,
564,,891,2 Rate PPM 7 hr Smart,0,0,0,15,6,2,2006-11-17,
565,,892,2 Rate PPM 8 hr Smart,0,0,0,15,6,2,2006-11-17,
566,,893,Key Meter - teleswitched,0,0,0,9,2,2,2007-10-12,
567,,894,Unrestricted Smartcard,0,0,0,17,6,1,2008-02-05,
568,,895,NHH 1ph 1-Rt UNR PRI Liberty Key Pad - R/C PP Mode,0,1,0,19,3,1,2009-04-16,
569,,896,NHH 1ph 1-Rt UNR PRI Liberty Key Pad - R/C Cr Mode,0,1,0,19,1,1,2009-04-16,
570,,998,Actual Shared SVA Meter Arrgt,0,1,1,5,1,,2002-04-26,
571,,999,Pseudo Shared SVA Meter Arrgt,0,1,1,5,1,,2002-04-26,
573,660,001,"Unrestricted, Single rate",0,0,0,17,8,1,1996-04-01,
574,703,001,"Economy 7, 23.30 - 06.30",0,0,0,15,2,2,1996-04-01,
575,748,001,Prepayment Two Rate,0,0,0,8,6,2,1996-04-01,
576,792,001,Summer Unrestricted,0,0,0,14,1,1,1996-04-01,
577,876,001,O/P -F- 8HRS + 2.5HRS PROG TIME/S,0,0,0,15,1,1,1996-04-01,
578,898,001,8.5 Hour White Meter,0,0,0,14,1,2,1996-04-01,
579,931,001,11.5 Hour Off Peak - TS,0,0,0,14,1,1,1996-04-01,
580,1005,001,NHH non-prog 1r credit meter and T/S,0,0,0,14,1,1,1996-04-01,
581,635,001,8.5 Hour White Meter,0,0,0,14,1,2,1996-04-01,
582,675,001,8.5 Hr White Meter,0,0,0,14,1,2,1996-04-01,
583,118,001,"Economy 7, 23.30 - 06.30",0,0,0,15,2,2,1996-04-01,2014-12-17
584,660,002,Dynamic-htg units,0,0,0,8,1,1,1996-04-01,
585,703,002,"Economy 7, 00.00 - 07.00",0,0,0,15,2,2,1996-04-01,
586,724,002,7-Hour E7,0,0,0,14,7,2,1996-04-01,
587,748,002,Prepayment Two Rate,0,0,0,8,6,2,1996-04-01,
588,848,002,Credit single rate,0,0,0,18,1,1,1996-04-01,
589,876,002,O/P -F- 8HRS + 2.5HRS NON - PROG TIME/S,0,0,0,14,1,1,1996-04-01,
590,898,002,8.5 Hour White Meter,0,0,0,14,7,2,1996-04-01,
591,931,002,11.5 Hour Off Peak - TS,0,0,0,14,1,1,1996-04-01,
592,1005,002,NHH non-prog 1r credit meter and T/S,0,0,0,14,1,1,1996-04-01,
593,635,002,8.5 Hour White Meter,0,0,0,15,1,2,1996-04-01,
594,118,002,"Economy 7, 00.00 - 07.00",0,0,0,15,2,2,1996-04-01,2014-12-17
595,792,002,E7 Key RTS,0,0,0,9,2,2,1996-04-01,
596,660,003,Dynamic-htg units,0,0,0,8,1,1,1996-04-01,
597,703,003,"White Meter, 23.00 - 07.00",0,0,0,8,1,2,1996-04-01,
598,748,003,Prepayment Unrestricted,0,0,0,15,6,2,1996-04-01,
599,876,003,O/P -FX- 10.5HRS PROG TIME/S,0,0,0,15,1,1,1996-04-01,
600,898,003,8.5 Hour White Meter,0,0,0,15,1,2,1996-04-01,
601,931,003,11.5 Hour Off Peak - TS,0,0,0,14,1,1,1996-04-01,
602,1005,003,NHH non-prog 1r credit meter and T/S,0,0,0,14,1,1,1996-04-01,
603,675,003,8.5 Hr White Meter,0,0,0,15,1,2,1996-04-01,
604,660,004,Dynamic-htg units,0,0,0,8,1,1,1996-04-01,
605,703,004,Evening Weekend,0,0,0,15,2,2,1996-04-01,
606,724,004,7-Hour E7,0,0,0,15,7,2,1996-04-01,
607,748,004,Prepayment Two Rate,0,0,0,8,7,2,1996-04-01,
608,848,004,7 hr E7 BKM,0,0,0,15,2,2,1996-04-01,
609,876,004,O/P -FX- 10.5HRS NON - PROG TIME/S,0,0,0,14,1,1,1996-04-01,
610,898,004,8.5 Hour White Meter,0,0,0,15,7,2,1996-04-01,
611,931,004,11.5 Hour Off Peak - TS,0,0,0,14,1,1,1996-04-01,
612,1005,004,NHH non-prog 1r credit meter and T/S,0,0,0,14,1,1,1996-04-01,
613,692,004,Evening/Weekend,0,0,0,15,2,2,1996-04-01,
614,118,004,Evening Weekend,0,0,0,15,2,2,1996-04-01,2014-12-17
615,640,004,Evening/Weekend,0,0,0,15,2,2,1996-04-01,
616,660,005,Dynamic-htg units,0,0,0,8,1,1,1996-04-01,
617,703,005,Evening Weekend,0,0,0,15,1,2,1996-04-01,
618,748,005,Prepayment Two Rate,0,0,0,8,7,2,1996-04-01,
619,792,005,E7 Evening and W/E T/S,0,0,0,15,1,3,1996-04-01,
620,876,005,O/P -FC- 8HRS +2.5HRS PROG TIME/S,0,0,0,15,1,1,1996-04-01,
621,898,005,8.5 Hour White Meter,0,0,0,8,1,2,1996-04-01,
622,931,005,11.5 Hour Off Peak - TS,0,0,0,14,1,1,1996-04-01,
623,1005,005,NHH non-prog 1r credit meter and T/S,0,0,0,14,1,1,1996-04-01,
624,692,005,Evening/Weekend,0,0,0,15,1,2,1996-04-01,
625,635,005,E7,0,0,0,14,1,2,1996-04-01,
626,675,005,8.5 Hr White Meter,0,0,0,8,1,2,1996-04-01,
627,118,005,Evening Weekend,0,0,0,15,1,2,1996-04-01,2014-12-17
628,640,005,Evening/Weekend,0,0,0,15,1,2,1996-04-01,
629,660,006,Dynamic-htg units,0,0,0,8,1,1,1996-04-01,
630,703,006,Evening Weekend,0,0,0,14,1,2,1996-04-01,
631,724,006,7-Hour E7,0,0,0,8,7,2,1996-04-01,
632,748,006,Domestic Prepayment Two Rate,0,0,0,8,6,2,1996-04-01,
633,792,006,E7 RTS Grp 23,0,0,0,8,1,2,1996-04-01,
634,876,006,O/P -FC- 8HRS +2.5HRS NON - PROG TIME/S,0,0,0,14,1,1,1996-04-01,
635,898,006,8.5 Hour White Meter,0,0,0,8,7,2,1996-04-01,
636,931,006,11.5 Hour Off Peak - TS,0,0,0,14,1,1,1996-04-01,
637,1005,006,NHH non-prog 1r credit meter and T/S,0,0,0,14,1,1,1996-04-01,
638,692,006,Evening/Weekend,0,0,0,14,1,2,1996-04-01,
639,635,006,E7,0,0,0,15,1,2,1996-04-01,
640,118,006,Evening Weekend,0,0,0,14,1,2,1996-04-01,2014-12-17
641,640,006,Evening/Weekend,0,0,0,14,1,2,1996-04-01,
642,660,007,Dynamic-htg units,0,0,0,8,1,1,1996-04-01,
643,703,007,Evening Weekend,0,0,0,8,1,2,1996-04-01,
644,748,007,Domestic Prepayment Two Rate,0,0,0,8,6,2,1996-04-01,
645,792,007,E7 Smartcard RTS Grp 37,0,0,0,9,6,2,1996-04-01,
