id,tpr_id,Day of the Week Id,Start Day,Start Month,End Day,End Month,Start Hour,Start Minute,End Hour,End Minute
565,18,1,1,1,31,3,13,00,15,30
566,18,1,1,4,31,10,00,00,24,00
567,18,1,1,11,31,12,00,00,07,00
568,18,1,1,11,31,12,13,00,15,30
569,18,2,1,1,31,3,13,00,15,30
570,18,2,1,4,31,10,00,00,24,00
571,18,2,1,11,31,12,13,00,15,30
572,18,3,1,1,31,3,13,00,15,30
573,18,3,1,4,31,10,00,00,24,00
574,18,3,1,11,31,12,13,00,15,30
575,18,4,1,1,31,3,13,00,15,30
576,18,4,1,4,31,10,00,00,24,00
577,18,4,1,11,31,12,13,00,15,30
578,18,5,1,1,31,3,13,00,15,30
579,18,5,1,1,31,3,19,00,24,00
580,18,5,1,4,31,10,00,00,24,00
581,18,5,1,11,31,12,13,00,15,30
582,18,5,1,11,31,12,19,00,24,00
583,18,6,1,1,31,3,00,00,24,00
584,18,6,1,4,31,10,00,00,24,00
585,18,6,1,11,31,12,00,00,24,00
586,18,7,1,1,31,3,00,00,24,00
587,18,7,1,4,31,10,00,00,24,00
588,18,7,1,11,31,12,00,00,24,00
589,19,1,1,1,31,12,08,00,16,00
590,19,2,1,1,31,12,08,00,16,00
591,19,3,1,1,31,12,08,00,16,00
592,19,4,1,1,31,12,08,00,16,00
593,19,5,1,1,31,12,08,00,16,00
594,19,6,1,1,31,12,08,00,16,00
595,19,7,1,1,31,12,08,00,16,00
596,20,1,1,1,31,12,00,00,07,30
597,20,1,1,1,31,12,11,00,13,00
598,20,1,1,1,31,12,15,00,16,00
599,20,1,1,1,31,12,19,00,24,00
600,20,2,1,1,31,12,00,00,07,30
601,20,2,1,1,31,12,11,00,13,00
602,20,2,1,1,31,12,15,00,16,00
603,20,2,1,1,31,12,19,00,24,00
604,20,3,1,1,31,12,00,00,07,30
605,20,3,1,1,31,12,11,00,13,00
606,20,3,1,1,31,12,15,00,16,00
607,20,3,1,1,31,12,19,00,24,00
608,20,4,1,1,31,12,00,00,07,30
609,20,4,1,1,31,12,11,00,13,00
610,20,4,1,1,31,12,15,00,16,00
611,20,4,1,1,31,12,19,00,24,00
612,20,5,1,1,31,12,00,00,07,30
613,20,5,1,1,31,12,11,00,13,00
614,20,5,1,1,31,12,15,00,16,00
615,20,5,1,1,31,12,19,00,24,00
616,20,6,1,1,31,12,00,00,24,00
617,20,7,1,1,31,12,00,00,24,00
618,21,1,1,1,31,12,00,00,07,30
619,21,1,1,1,31,12,11,00,14,00
620,21,1,1,1,31,12,19,00,24,00
621,21,2,1,1,31,12,00,00,07,30
622,21,2,1,1,31,12,11,00,14,00
